Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,8526299,8813619,9113629,9428906,9762819,10116870,10493441,10889499,11294666,11694843,12080311,12446444,12796982,13140797,13491114,13857469,14242766,14643881,15057226,15476928,15898760,16321692,16747428,17177663,17615037,18061283,18515579,18976411,19443890,19918119,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34709000,35165000,35602000,36022000,36427000,36819000,37199000,37569000,37931000,38287000,38636000,38981000,39321000,39658000,39991000,40319000,40643000,40962000,41273000,41577000,41871000,42153000,42424000,42682000,42926000,43157000,43374000,43578000,43769000,43946000
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996967,9169406,9351442,9543200,9744772,9956318,10174840,10399936,10637064,10893772,11173654,11475450,11791222,12108963,12412960,12689164,12943093,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835000,40754000,41681000,42609000,43532000,44449000,45364000,46275000,47185000,48094000,49000000,49904000,50804000,51699000,52587000,53469000,54343000,55209000,56065000,56912000,57748000,58574000,59387000,60188000,60974000,61746000,62503000,63245000,63972000,64683000
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,130836765,134159786,137614644,141202036,144920186,148769974,152752671,156876454,161156430,165611760,170257189,175100167,180141148,185376550,190800796,196409937,202205766,208193045,214368393,220740384,227305945,234058404,240999134,248146290,255530063,263161451,271050065,279184536,287524258,296024639,304648010,313394693,322270073,331265579,340379934,349605660,358953595,368440591,378098393,387977990,398113044,408522129,419223717,430246635,441630149,453404076,465581372,478166911,491173160,504604672,518468229,532760424,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299,694664000,712313000,730199000,748355000,766800000,785529000,804534000,823803000,843315000,863052000,883013000,903186000,923556000,944107000,964825000,985695000,1006710000,1027863000,1049151000,1070560000,1092093000,1113727000,1135460000,1157274000,1179158000,1201097000,1223090000,1245124000,1267187000,1289283000
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,96396419,98407221,100506960,102691339,104953470,107289875,109701811,112195950,114781116,117468741,120269044,123184308,126218502,129384954,132699537,136173544,139813171,143615715,147571063,151663853,155882270,160223588,164689764,169279422,173991851,178826553,183785612,188868567,194070079,199382783,204803865,210332267,215976366,221754806,227692136,233807627,240114179,246613750,253302310,260170348,267214544,274433894,281842480,289469530,297353098,305520588,313985474,322741656,331772330,341050537,350556886,360285439,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476,470898000,483203000,495715000,508457000,521426000,534628000,548057000,561708000,575580000,589662000,603958000,618460000,633162000,648061000,663151000,678423000,693877000,709496000,725277000,741208000,757279000,773484000,789816000,806260000,822806000,839444000,856170000,872979000,889863000,906826000
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743,2832000,2824000,2816000,2807000,2798000,2789000,2779000,2769000,2759000,2748000,2736000,2724000,2711000,2696000,2681000,2665000,2647000,2629000,2610000,2591000,2571000,2550000,2529000,2508000,2486000,2465000,2443000,2421000,2399000,2377000
Algeria,DZA,"Population, total",SP.POP.TOTL,11057864,11336336,11619828,11912800,12221675,12550880,12902626,13275020,13663581,14061724,14464992,14872253,15285992,15709831,16149018,16607706,17085799,17582899,18102266,18647801,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,44617000,45350000,46053000,46731000,47388000,48022000,48634000,49226000,49801000,50361000,50908000,51444000,51971000,52494000,53016000,53537000,54059000,54583000,55110000,55640000,56174000,56711000,57250000,57789000,58326000,58859000,59388000,59911000,60423000,60923000
American Samoa,ASM,"Population, total",SP.POP.TOTL,20127,20605,21246,22029,22850,23675,24473,25235,25980,26698,27362,27982,28564,29103,29595,30045,30455,30834,31262,31842,32648,33697,34969,36413,37946,39521,41114,42741,44346,45894,47351,48682,49900,51025,52099,53158,54209,55227,56180,57049,57816,58496,59077,59495,59684,59557,59109,58367,57490,56675,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
Andorra,AND,"Population, total",SP.POP.TOTL,13410,14378,15379,16407,17466,18542,19646,20760,21886,23053,24275,25571,26885,28232,29515,30705,31782,32769,33744,34825,36063,37498,39115,40854,42706,44593,46520,48459,50433,52452,54508,56666,58882,60974,62676,63860,64363,64318,64140,64368,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77000,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,77000,77000,77000,77000,77000,76000,76000
Angola,AGO,"Population, total",SP.POP.TOTL,5454938,5531451,5608499,5679409,5734995,5770573,5781305,5774440,5771973,5803677,5890360,6041239,6248965,6497283,6761623,7023994,7279630,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,33934000,35027000,36149000,37299000,38478000,39688000,40929000,42200000,43502000,44835000,46198000,47593000,49017000,50471000,51953000,53462000,55000000,56566000,58160000,59782000,61432000,63110000,64814000,66544000,68298000,70075000,71877000,73701000,75549000,77420000
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,54132,55005,55849,56701,57641,58699,59912,61240,62523,63553,64184,64354,64134,63649,63108,62671,62353,62162,62038,61948,61861,61789,61780,61779,61784,61785,61754,61713,61758,62007,62533,63363,64459,65777,67201,68672,70176,71707,73219,74674,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928,99000,100000,100000,101000,102000,102000,103000,104000,104000,105000,105000,106000,106000,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,110000,111000,111000,111000,111000
Arab World,ARB,"Population, total",SP.POP.TOTL,92197715,94724540,97334438,100034191,102832792,105736428,108758634,111899335,115136161,118437193,121785630,125164720,128598743,132161302,135952270,140040580,144453278,149161836,154111160,159218539,164420771,169698978,175061794,180505967,186035280,191650328,197338140,203084958,208889669,214753965,222653371,228731671,232956364,239243294,245449429,253107302,259000937,264822167,270575777,276393809,282344141,288432153,294665202,301113869,307862846,314965776,322452764,330290752,338395936,346629179,354890097,363156846,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728,444515000,453127000,461820000,470458000,478943000,487238000,495373000,503375000,511284000,519139000,526937000,534672000,542365000,550046000,557735000,565436000,573150000,580867000,588574000,596258000,603917000,611550000,619148000,626700000,634197000,641626000,648994000,656288000,663508000,670643000
Argentina,ARG,"Population, total",SP.POP.TOTL,20481781,20817270,21153042,21488916,21824427,22159644,22494031,22828872,23168268,23517613,23880564,24259564,24653172,25056475,25462305,25865775,26264681,26661397,27061041,27471046,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45784000,46188000,46586000,46980000,47368000,47750000,48126000,48496000,48860000,49217000,49568000,49912000,50249000,50579000,50903000,51221000,51533000,51838000,52137000,52430000,52716000,52995000,53268000,53534000,53794000,54047000,54294000,54535000,54768000,54993000
Armenia,ARM,"Population, total",SP.POP.TOTL,1874119,1941498,2009524,2077584,2145004,2211316,2276038,2339133,2401142,2462938,2525067,2587716,2650484,2712780,2773750,2832752,2889583,2944375,2997419,3049107,3099759,3148096,3193696,3238592,3285593,3335935,3392264,3451947,3504667,3536473,3538164,3505249,3442820,3363111,3283664,3217349,3168213,3133081,3108691,3089020,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968000,2972000,2975000,2977000,2977000,2977000,2976000,2974000,2971000,2967000,2963000,2958000,2952000,2947000,2940000,2934000,2927000,2920000,2913000,2905000,2897000,2890000,2882000,2873000,2865000,2856000,2846000,2837000,2827000,2816000
Aruba,ABW,"Population, total",SP.POP.TOTL,54208,55434,56234,56699,57029,57357,57702,58044,58377,58734,59070,59442,59849,60236,60527,60653,60586,60366,60102,59972,60097,60561,61341,62213,62826,63024,62645,61838,61072,61033,62152,64623,68240,72495,76705,80324,83211,85450,87280,89009,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,110000,110000,110000,110000,109000,109000,109000,109000
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041,25967000,26241000,26511000,26777000,27040000,27300000,27556000,27809000,28057000,28302000,28544000,28782000,29018000,29251000,29481000,29708000,29934000,30158000,30381000,30603000,30824000,31045000,31265000,31485000,31704000,31924000,32143000,32363000,32582000,32799000
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205,8940000,8954000,8962000,8970000,8980000,8993000,9007000,9021000,9034000,9045000,9054000,9062000,9068000,9073000,9077000,9079000,9079000,9078000,9075000,9070000,9063000,9054000,9044000,9032000,9019000,9005000,8990000,8975000,8959000,8942000
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3895398,4030325,4171428,4315127,4456691,4592601,4721528,4843872,4960237,5071930,5180032,5284518,5385266,5483088,5579071,5674129,5768730,5863138,5957927,6053635,6150735,6249312,6349555,6452067,6557581,6666447,6778631,6893486,7010027,7126877,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10110116,10192000,10268000,10338000,10402000,10462000,10517000,10569000,10617000,10662000,10705000,10746000,10784000,10821000,10856000,10888000,10918000,10946000,10971000,10992000,11010000,11024000,11034000,11041000,11044000,11043000,11040000,11034000,11025000,11014000,11000000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,109532,115119,121092,127340,133705,140060,146381,152621,158648,164265,169376,173894,177863,181519,185105,188895,192903,197100,201482,205991,210589,215321,220182,225095,229913,234579,239020,243265,247451,251738,256227,261007,266028,271065,275849,280179,283980,287363,290600,294063,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248,397000,401000,404000,408000,411000,414000,418000,421000,424000,427000,430000,432000,435000,438000,440000,442000,445000,447000,449000,450000,452000,454000,455000,457000,458000,459000,460000,462000,462000,463000
Bahrain,BHR,"Population, total",SP.POP.TOTL,162429,167899,173140,178142,182888,187432,191785,196060,200652,206037,212607,220311,229151,239527,251908,266540,283746,303169,323468,342804,359897,374120,385953,396451,407233,419428,433478,448981,465198,481081,495927,509762,523082,536212,549590,563698,578661,594927,613697,636540,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748000,1784000,1812000,1838000,1865000,1895000,1926000,1957000,1986000,2013000,2038000,2060000,2081000,2100000,2119000,2137000,2154000,2170000,2185000,2200000,2214000,2227000,2240000,2253000,2265000,2276000,2287000,2297000,2307000,2316000
Bangladesh,BGD,"Population, total",SP.POP.TOTL,48013505,49362834,50752150,52202008,53741721,55385114,57157651,59034250,60918452,62679765,64232486,65531635,66625706,67637541,68742222,70066310,71652386,73463593,75450033,77529040,79639498,81767516,83932132,86142490,88416529,90764180,93187593,95671159,98186350,100695496,103171957,105599125,107983708,110350641,112737684,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303000,167886000,169432000,170937000,172399000,173814000,175180000,176498000,177769000,178994000,180171000,181300000,182377000,183403000,184374000,185291000,186152000,186960000,187715000,188417000,189066000,189663000,190208000,190701000,191142000,191532000,191871000,192157000,192390000,192568000
Barbados,BRB,"Population, total",SP.POP.TOTL,230985,231718,232623,233632,234588,235415,236084,236661,237241,237963,238895,240093,241523,243076,244643,246158,247584,248931,250200,251347,252388,253296,254078,254791,255493,256260,257117,258012,258970,259961,260933,261912,262890,263869,264893,265955,267047,268183,269334,270455,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371,288000,288000,288000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,288000,288000,287000,287000,286000,285000,284000,283000,283000,282000,280000,279000,278000,277000
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9417849,9398861,9390000,9377000,9362000,9346000,9328000,9309000,9288000,9266000,9241000,9214000,9185000,9152000,9117000,9080000,9041000,9002000,8963000,8925000,8888000,8851000,8816000,8782000,8749000,8716000,8685000,8655000,8627000,8600000,8575000,8548000
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11555997,11591000,11623000,11652000,11682000,11711000,11741000,11770000,11798000,11824000,11848000,11870000,11890000,11910000,11928000,11945000,11962000,11978000,11992000,12006000,12019000,12032000,12043000,12053000,12062000,12071000,12078000,12084000,12090000,12095000,12099000
Belize,BLZ,"Population, total",SP.POP.TOTL,92068,94700,97392,100165,103069,106120,109348,112707,116065,119269,122184,124795,127152,129294,131305,133264,135143,136990,138975,141302,144142,147572,151486,155820,160341,164918,169569,174333,179023,183471,187554,191136,194324,197625,201679,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621,405000,412000,419000,427000,434000,441000,448000,454000,461000,468000,474000,480000,487000,493000,499000,504000,510000,516000,521000,526000,531000,536000,541000,546000,550000,555000,559000,563000,567000,571000
Benin,BEN,"Population, total",SP.POP.TOTL,2431617,2465865,2502897,2542864,2585961,2632361,2682159,2735308,2791588,2850657,2912338,2976575,3043563,3113681,3187413,3265167,3347169,3433445,3523933,3618519,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451000,12785000,13124000,13470000,13822000,14180000,14544000,14915000,15291000,15672000,16060000,16453000,16851000,17254000,17663000,18076000,18494000,18917000,19344000,19775000,20210000,20649000,21091000,21537000,21986000,22439000,22895000,23354000,23816000,24280000
Bermuda,BMU,"Population, total",SP.POP.TOTL,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63919,63913,63903,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,223284,228849,234552,240529,246961,253993,261664,269944,278731,287886,297307,306957,316822,326986,337491,348395,359721,371424,383324,395192,406883,418107,428938,439823,451471,464264,478683,494313,509532,522173,530801,534637,534525,532590,531905,534629,541471,551713,564378,577886,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612,780000,788000,796000,803000,811000,818000,824000,831000,837000,843000,848000,853000,858000,863000,867000,871000,875000,879000,882000,885000,888000,891000,893000,895000,897000,899000,901000,902000,904000,905000
Bolivia,BOL,"Population, total",SP.POP.TOTL,3656961,3728954,3802996,3879191,3957759,4038865,4122517,4208683,4297522,4389248,4484004,4581752,4682392,4785916,4892294,5001413,5113458,5228253,5344946,5462413,5579932,5697098,5814344,5932812,6054126,6179460,6309129,6442824,6580318,6721117,6864839,7011456,7160917,7312857,7466792,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,11833000,11993000,12152000,12311000,12468000,12625000,12781000,12936000,13089000,13240000,13390000,13538000,13684000,13828000,13971000,14111000,14250000,14387000,14521000,14653000,14783000,14910000,15035000,15157000,15277000,15395000,15510000,15623000,15733000,15840000
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3225664,3288604,3353228,3417573,3478999,3535632,3586630,3632678,3675448,3717476,3760536,3805286,3851153,3897259,3942221,3985107,4025271,4063188,4100355,4138816,4179850,4222479,4265183,4307907,4350566,4392135,4435925,4479516,4509462,4507819,4463422,4369320,4233673,4078940,3936527,3829049,3764419,3736070,3734338,3743353,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263000,3249000,3237000,3225000,3212000,3197000,3181000,3163000,3145000,3127000,3108000,3089000,3070000,3050000,3030000,3009000,2988000,2967000,2945000,2923000,2901000,2878000,2855000,2831000,2808000,2784000,2759000,2735000,2710000,2685000
Botswana,BWA,"Population, total",SP.POP.TOTL,502733,512688,523777,535692,547870,559996,571957,584098,596946,611297,627714,646350,667096,689906,714701,741346,769982,800532,832467,865073,897860,930412,962859,996124,1031439,1069585,1110948,1154904,1200073,1244484,1286756,1326321,1363541,1399110,1434061,1469173,1504724,1540424,1575827,1610260,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,2397000,2441000,2484000,2526000,2568000,2610000,2651000,2693000,2734000,2774000,2815000,2855000,2895000,2935000,2975000,3014000,3053000,3092000,3130000,3168000,3205000,3242000,3278000,3313000,3348000,3382000,3415000,3447000,3479000,3510000
